;lg;T_slot;timeslot;ProbTimeslot
0;01;0;MATTINA;0.1828161071504846
23;01;1;PASTI;0.1858518341486235
47;01;2;POMERIGGIO;0.16842182875855546
71;01;3;SERA;0.1096993257329984
95;01;4;NOTTE;0.17146772569638663
1;03;0;MATTINA;0.004920979568591158
24;03;1;PASTI;0.009274984999338954
48;03;2;POMERIGGIO;0.013195496750704269
72;03;3;SERA;0.0033459101587527585
96;03;4;NOTTE;0.0017377884449145216
2;04;0;MATTINA;0.0008415625095343185
25;04;1;PASTI;0.0006724872621505355
49;04;2;POMERIGGIO;0.0006152813513815863
73;04;3;SERA;0.0005415492886127186
97;04;4;NOTTE;0.000807238963072949
3;05;0;MATTINA;0.008940648231955985
26;05;1;PASTI;0.006349856095353355
50;05;2;POMERIGGIO;0.008212226301498033
74;05;3;SERA;0.0012025953686094642
98;05;4;NOTTE;0.0029429262984470503
4;06;0;MATTINA;0.0012280202178401082
27;06;1;PASTI;0.0006114676239969897
51;06;2;POMERIGGIO;0.0004322224369209491
75;06;3;SERA;1.3983667076854234e-05
99;06;4;NOTTE;9.534318461491523e-05
5;07;0;MATTINA;0.00011568306399943048
28;07;1;PASTI;3.81372738459661e-05
52;07;2;POMERIGGIO;0.00013729418584547794
76;07;3;SERA;5.084969846128812e-06
6;08;0;MATTINA;6.101963815354575e-05
29;08;1;PASTI;2.1611121846047453e-05
53;08;2;POMERIGGIO;6.229088061507796e-05
77;08;3;SERA;6.356212307661015e-06
100;08;4;NOTTE;1.271242461532203e-06
7;09;0;MATTINA;0.005468885069511538
30;09;1;PASTI;0.0058528002928942635
54;09;2;POMERIGGIO;0.006990562295965585
78;09;3;SERA;0.004993440388898494
101;09;4;NOTTE;0.001590324319376786
8;10;0;MATTINA;0.00042713746707482024
31;10;1;PASTI;0.00039535640553651515
55;10;2;POMERIGGIO;0.0015153210141463861
79;10;3;SERA;3.81372738459661e-05
102;10;4;NOTTE;1.271242461532203e-06
9;11;0;MATTINA;0.0012598012793784133
32;11;1;PASTI;5.720591076894914e-05
56;11;2;POMERIGGIO;9.280069969185082e-05
80;11;3;SERA;7.627454769193218e-06
103;11;4;NOTTE;1.652615199991864e-05
10;12;0;MATTINA;0.010822087075023645
33;12;1;PASTI;0.001283954886147525
57;12;2;POMERIGGIO;0.006071453996277802
81;12;3;SERA;4.19510012305627e-05
104;12;4;NOTTE;0.00026187594707563386
11;13;0;MATTINA;0.0006864709292273897
34;13;1;PASTI;4.703597107669152e-05
58;13;2;POMERIGGIO;0.00013475170092241352
82;13;3;SERA;1.271242461532203e-06
105;13;4;NOTTE;5.084969846128812e-06
12;14;0;MATTINA;0.0009051246326109286
35;14;1;PASTI;0.00031145440307538976
59;14;2;POMERIGGIO;0.0009102096024570575
83;14;3;SERA;8.771572984572201e-05
106;14;4;NOTTE;0.00022882364307579657
13;15;0;MATTINA;0.0008428337519958507
36;15;1;PASTI;0.000901310905226332
60;15;2;POMERIGGIO;0.0024700241027570706
84;15;3;SERA;0.000319081857844583
107;15;4;NOTTE;2.9238576615240673e-05
14;16;0;MATTINA;1.0169939692257624e-05
37;16;1;PASTI;0.00027840209907555247
61;16;2;POMERIGGIO;0.00047290219568997955
85;16;3;SERA;0.0006330787458430371
108;16;4;NOTTE;8.771572984572201e-05
38;17;1;PASTI;1.5254909538386437e-05
62;17;2;POMERIGGIO;8.898697230725422e-06
86;17;3;SERA;0.000256790977229505
109;17;4;NOTTE;0.0005618891679972337
15;18;0;MATTINA;6.101963815354575e-05
39;18;1;PASTI;4.19510012305627e-05
63;18;2;POMERIGGIO;0.0001258530036916881
87;18;3;SERA;2.542484923064406e-06
110;18;4;NOTTE;1.271242461532203e-06
16;19;0;MATTINA;0.00018560139938370165
40;19;1;PASTI;0.00021229749107587792
64;19;2;POMERIGGIO;0.0008364775396881896
88;19;3;SERA;0.00011186933661483388
111;19;4;NOTTE;2.415360676911186e-05
17;20;0;MATTINA;0.0036751619562895993
41;20;1;PASTI;0.00034450670707522705
65;20;2;POMERIGGIO;0.0021318736079895045
89;20;3;SERA;0.0001665327624607186
112;20;4;NOTTE;0.00013220921599934912
18;21;0;MATTINA;0.0006826572018427931
42;21;1;PASTI;0.0002720458867678915
66;21;2;POMERIGGIO;0.001520405983992515
90;21;3;SERA;0.00013348045846088132
113;21;4;NOTTE;6.610460799967456e-05
19;22;0;MATTINA;0.0015661707126076742
43;22;1;PASTI;0.0006038401692277965
67;22;2;POMERIGGIO;0.0016615138972225895
91;22;3;SERA;1.906863692298305e-05
114;22;4;NOTTE;0.00023263737046039316
20;23;0;MATTINA;0.0014479451636851793
44;23;1;PASTI;0.0011225070935329353
68;23;2;POMERIGGIO;0.002547569892910535
92;23;3;SERA;2.9238576615240673e-05
115;23;4;NOTTE;4.19510012305627e-05
21;24;0;MATTINA;8.517324492265761e-05
45;24;1;PASTI;6.610460799967456e-05
69;24;2;POMERIGGIO;0.00017797394461450844
93;24;3;SERA;1.271242461532203e-05
116;24;4;NOTTE;8.898697230725422e-06
22;25;0;MATTINA;0.009311851030723389
46;25;1;PASTI;0.006204934454738684
70;25;2;POMERIGGIO;0.01632529569099655
94;25;3;SERA;0.003933224175980636
117;25;4;NOTTE;0.0017911806282988742
